gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
Sema4f	receptor	Ligand-receptor signaling; growth cone collapse; regulation of oligodendrocyte precursor migration and differentiation	PLXNB1 (putative)	plasma membrane; postsynaptic density	brain; peripheral nervous system	neurons (glutamatergic); oligodendrocyte precursors; retinal ganglion cells	Semaphorin signaling; axon guidance	decreased bone mineral density; decreased leukocyte number	mild	NA	PRC2 target in Schwann cells; expressed at glutamatergic synapses in cerebellum	NA	NA	NA	Transmembrane semaphorin at glutamatergic synapses that regulates oligodendroglial precursor migration and is a PRC2 target in nerve repair
Tiam1	GTPase/regulator	Guanine nucleotide exchange factor; activates RAC1, CDC42, and RHOA	RAC1; CDC42; RHOA	cytoplasm; cell membrane	brain; lung; testis; immune tissues	neurons; fibroblasts; T cells; pericytes	RAC1/CDC42 signaling; actin cytoskeleton regulation; cell migration; cell polarity	abnormal apoptosis; decreased proliferation; increased malignant tumor incidence; anencephaly; exencephaly; abnormal forebrain; decreased locomotor activity	severe	anencephaly/exencephaly (neural tube defects); abnormal forebrain and diencephalon morphology	KDM6B/JMJD3 study in cerebellar granule neurons identified Tiam1 as expressed in developing cerebellum	colorectal cancer; gastric cancer	oncogenic in gastric cancer (promotes invasion/metastasis); tumor suppressor in some contexts	ALS (associated)	Regulates Rac1-dependent cytoskeletal dynamics in neurons; governs axon/dendrite morphogenesis and neuronal polarity; expressed in developing granule neurons	RAC/CDC42 GEF that drives neuronal polarity, axon/dendrite development, and is required for normal brain morphogenesis
Calb2	other	Calcium buffering; intracellular calcium homeostasis; modulation of calcium-dependent signaling	Ca2+	cytoplasm; nucleus	brain; retina; inner ear; pituitary	specific interneurons (Cajal-Retzius cells, cerebellar granule cells, retinal amacrine cells); odontoblasts	Calcium signaling; synaptic plasticity	impaired coordination; abnormal long-term potentiation; abnormal nervous system electrophysiology	mild-moderate	impaired motor coordination; reduced LTP	Expressed in cerebellar granule neurons and Purkinje cells; H3K27me3-marked differentiation gene	pancreatic adenocarcinoma; pituitary adenoma; colorectal cancer	expression changes in cancer; M2 macrophage polarization in PAAD via WTAP/FOSL1/CALB2 axis	NA	Upregulated during odontoblast differentiation; facilitates neuronal maturation and synaptic function	Calcium-binding protein that buffers intracellular Ca2+ in neurons, modulates synaptic plasticity, and is a marker of specific interneuronal subtypes including cerebellar granule cells
Syn2	other	Coats synaptic vesicles; regulates neurotransmitter release; binds cytoskeleton	Synaptic vesicles; actin cytoskeleton	synaptic vesicle membrane	brain (hippocampus, cerebellum, neocortex)	neurons (presynaptic)	Synaptic vesicle cycle; neurotransmitter release regulation	convulsive seizures; abnormal CNS synaptic transmission; decreased post-tetanic potentiation; abnormal synaptic vesicle number; decreased brain weight; abnormal neuron morphology; delayed CNS synapse formation	severe	seizures; abnormal synaptic transmission; abnormal hippocampal physiology; delayed synapse formation	Circadian cerebellar protein oscillation; H3K27me3-marked differentiation gene	GBM (GEO screen)	NA	epilepsy; autism (screens)	Phosphorylated during neuronal differentiation; required for late-phase synaptogenesis in the developing nervous system	Neuronal phosphoprotein coating synaptic vesicles that regulates neurotransmitter release and is required for normal synapse formation and seizure threshold
Rnf112	ubiquitin ligase	E3 ubiquitin-protein ligase; GTPase activity; promotes neuronal differentiation by inducing G0/G1 cell cycle arrest; regulates dendritic spine density	Cell cycle regulators; GTP	nucleus; cytoplasm	brain (abundant and enriched)	neurons; neural progenitors	Ubiquitin-proteasome system; cell cycle regulation (G0/G1 arrest); neuronal differentiation; oxidative stress response	decreased brain size; decreased paired-pulse facilitation; abnormal miniature EPSCs; decreased dendritic spine number; hyperactivity	moderate-severe	decreased brain size; decreased dendritic spine number; impaired synaptic function; hyperactivity	Abundant in brain; promotes neuronal differentiation during brain development; protects neurons from oxidative stress in adult brain	oral squamous cell carcinoma (prognostic screen)	NA	depression (stress models); intracerebral hemorrhage (neuroprotection)	Drives neuronal differentiation by inducing cell cycle arrest; essential for brain size; maintains dendritic spine density and synaptic function	RING finger E3 ubiquitin ligase that drives neuronal differentiation via cell cycle arrest, regulates dendritic spine density, and protects adult neurons from oxidative damage
Prrt1	channel regulator	Auxiliary factor of AMPA receptors; regulates AMPAR trafficking, surface expression, and basal phosphorylation of GluA1/GluA2	GluA1 (GRIA1); GluA2 (GRIA2)	plasma membrane; extrasynaptic membrane	brain (hippocampus; CNS broadly)	neurons	AMPAR trafficking; excitatory synaptic transmission; LTP/LTD	reduced LTP; abnormal miniature EPSCs; abnormal object recognition memory; increased exploration; impaired spatial learning	moderate	reduced LTP; impaired spatial learning and object recognition; abnormal synaptic currents	Expressed in CNS; required for developmental synapse plasticity; dispensable at mature hippocampal synapses	NA	NA	ASD; ADHD (epigenetic screens)	Required during development for normal AMPAR surface expression; regulates synaptic strength during synapse maturation	Transmembrane AMPAR auxiliary subunit (SynDIG4) that maintains extrasynaptic AMPAR pools, governs surface expression of GluA1/GluA2, and is critical for developmental synaptic plasticity
Lin7a	scaffold/adaptor	Scaffolding of multiprotein complexes at plasma membrane; polarized trafficking of channels and receptors; links KIF17 motor to NMDAR vesicle transport	NR2B (GRIN2B); Kir2 channels; SLC6A12; ERBB1-4	postsynaptic density; basolateral membrane	brain; epithelial tissues; retina	neurons; epithelial cells	NMDAR trafficking; vesicle transport (KIF17-dependent); cell polarity; ERBB signaling	no abnormal phenotype detected	mild/none	NA	Zebrafish lin7 required for retinal neuroepithelial polarity during retinal development	GBM (screen)	NA	Alzheimer's disease (screen)	Required for localization of NMDA receptor subunit NR2B to postsynaptic density; involved in retinal cell polarity	PDZ-domain scaffold that organizes postsynaptic NMDAR localization and basolateral membrane protein targeting in polarized cells
Adcy1	enzyme	Adenylyl cyclase; catalyzes cAMP synthesis; activated by Ca2+/calmodulin	ATP → cAMP	plasma membrane	brain (neocortex, hippocampus, olfactory bulb, retina); inner ear	neurons; retinal cells	cAMP signaling; calcium/calmodulin signaling; CREB; LTP/LTD; learning and memory	abnormal spatial learning; impaired synaptic plasticity; absent barrel cortex; abnormal thalamus; abnormal somatosensory cortex physiology; hyporesponsive to tactile stimuli; increased pain threshold	severe	absent barrel cortex organization; impaired spatial learning; abnormal synaptic plasticity; abnormal thalamic morphology	Required for barrel cortex formation and somatosensory map development; regulates circadian cAMP synthesis in retina; H3K27me3-marked late differentiation gene	T-cell leukemia/lymphoma; colon cancer (screens)	NA	schizophrenia (gene association); SYNGAP1/ASD (associated pathway)	Regulates cAMP-dependent signaling during synaptogenesis and cortical map formation; required for LTP and memory	Ca2+/calmodulin-stimulated adenylyl cyclase that generates cAMP in neurons, required for barrel cortex somatosensory map formation, LTP, and hippocampal spatial learning
Gpld1	enzyme	GPI-specific phospholipase D; cleaves GPI-anchored proteins from cell surface; releases GPI-anchored proteins into circulation	GPI-anchored proteins	extracellular; Golgi; plasma membrane	liver (major source); brain; multiple tissues	hepatocytes; endothelial cells	GPI anchor cleavage; IGF signaling; exercise-induced neurogenesis pathway	abnormal kidney/heart/testis morphology; increased brain weight; decreased circulating cholesterol; preweaning lethality (incomplete penetrance)	moderate	increased brain weight (KO); Gpld1 mediates exercise-induced adult neurogenesis and cognitive improvement	Plasma Gpld1 from exercise transfers pro-neurogenic effects to sedentary aged mice; exercise-induced factor for adult neurogenesis	hypertrophic cardiomyopathy (screen)	NA	aging/cognitive decline (exercise model)	Gpld1 released from liver during exercise promotes hippocampal neurogenesis and cognition	Liver-derived GPI-cleaving enzyme that is elevated by exercise in plasma and transfers pro-neurogenic and cognitive benefits in aging
Sema4d	receptor	Transmembrane semaphorin; ligand for PLXNB1/PLXNB2; promotes GABAergic synapse development; regulates cerebellar granule cell migration; induces endothelial migration	PLXNB1; PLXNB2; RHOA	plasma membrane	brain; immune system; bone; vasculature	neurons; B cells; endothelial cells; osteoclasts; osteoblasts	Semaphorin-plexin signaling; RHOA activation; GABAergic synapse formation; bone remodeling; angiogenesis	decreased T cells; increased B cells; decreased B cell proliferation; cataract; enlarged heart; decreased bone mineral content	moderate	abnormal immune phenotype; cerebellar granule cell migration studies (Sema4D promotes migration); promotes inhibitory synapse development in hippocampus	Directly promotes cerebellar granule cell migration (PubMed:17554007); promotes GABAergic synapse formation; H3K27me3-marked differentiation gene	head and neck squamous cell carcinoma; lung cancer (osteolytic metastasis)	soluble Sema4D promotes tumor immune evasion; osteogenic inhibitory factor at bone metastases	NA	Promotes cerebellar granule cell migration; critical for GABAergic inhibitory synaptogenesis in hippocampus	Transmembrane semaphorin that signals through PlexinB1 to promote cerebellar granule cell migration and GABAergic synapse development
